번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),업무구분명,상세업무구분명,권리주체일련번호,총직원수
2426,동물위탁관리업,02_03_10_P,3220000,3.22e+17,2021-05-17,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강남,"서울특별시 강남구 역삼로**길 **, *층 (역삼동)",6250.0,멍투게더,2022-11-02 17:47,U,2022-11-04 2:40,,203066.7663,443492.2711,동물위탁관리업,동물위탁관리업,0,0
2427,동물위탁관리업,02_03_10_P,3220000,3.22e+17,2021-10-08,,1,영업/정상,0,정상,,,,,02-448-1108,0.0,,서울특별시 강남,"서울특별시 강남구 논현로 **, 동성빌딩 *층 (개포동)",6307.0,나나리펫하우스,2022-05-23 14:05,U,2022-07-02 17:34,,204027.295,441585.31,동물위탁관리업,동물위탁관리업,0,0
2428,동물위탁관리업,02_03_10_P,3220000,3.22e+17,2021-10-19,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강남,"서울특별시 강남구 도곡로**길 **, 상가동 ***-*호 (역삼동, 역삼동 롯데캐슬 노블)",6255.0,쏘큐트 펫살롱,2022-05-24 11:06,U,2022-07-02 17:34,,203094.0988,443345.8237,동물위탁관리업,동물위탁관리업,0,0
2429,동물위탁관리업,02_03_10_P,3220000,3.22e+17,2022-03-17,,1,영업/정상,0,정상,,,,,02-511-0518,0.0,,서울특별시 강남,"서울특별시 강남구 언주로***길 **-*, *층 (논현동)",6051.0,엘리자바스(ElizaBath),2022-05-24 10:23,U,2022-07-02 17:34,,202799.2589,446096.6712,동물위탁관리업,동물위탁관리업,L00,0
2430,동물위탁관리업,02_03_10_P,3220000,3.22e+17,2022-03-25,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강남,"서울특별시 강남구 영동대로***길 **, 지하*층 (청담동, 원테라스)",6071.0,그레이닝 킨더가든,2022-04-28 18:10,I,2022-07-02 17:34,,204604.4308,446741.4463,동물위탁관리업,동물위탁관리업,0,0
2431,동물위탁관리업,02_03_10_P,3220000,3.22e+17,2022-04-26,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강남,"서울특별시 강남구 강남대로***길 **, *층 (논현동)",6118.0,멍돌핀,2022-10-28 15:55,U,2022-10-30 2:40,,202338.9443,445083.091,동물위탁관리업,동물위탁관리업,0,0
2432,동물위탁관리업,02_03_10_P,3220000,3.22e+17,2022-05-02,,1,영업/정상,0,정상,,,,,070-8803-3110,0.0,,서울특별시 강남,"서울특별시 강남구 테헤란로**길 **, 제이유** *,*층 (역삼동)",6223.0,21그램 케어센터 역삼점,2022-05-02 14:14,I,2022-07-02 17:34,,203513.0565,444190.7596,동물위탁관리업,동물위탁관리업,L00,0
2601,동물위탁관리업,02_03_10_P,3070000,3.07e+17,2019-03-13,,1,영업/정상,0,정상,,,,,02-922-1044,0.0,,서울특별시 성북,"서울특별시 성북구 아리랑로*길 **, 상가동 *층 ***호 (동소문동*가, 브라운스톤 동선아파트)",2830.0,이쁘니 이발소,2022-04-28 18:10,I,2022-07-02 17:34,,201147.9866,454890.7563,동물위탁관리업,동물위탁관리업,0,0
2602,동물위탁관리업,02_03_10_P,3070000,3.07e+17,2019-04-26,,1,영업/정상,0,정상,,,,,0507-1306-9216,0.0,,서울특별시 성북,"서울특별시 성북구 동소문로**다길 **, 동선*동새마을금고 *층 (동선동*가)",2845.0,호펫 강아지 고양이 성신여대본점,2022-04-28 18:10,I,2022-07-02 17:34,,201709.0573,454693.5544,동물위탁관리업,동물위탁관리업,0,0
2603,동물위탁관리업,02_03_10_P,3070000,3.07e+17,2019-05-14,,1,영업/정상,0,정상,,,,,0507-1326-3828,0.0,,서울특별시 성북,"서울특별시 성북구 고려대로**길 **, *층 (안암동*가)",2850.0,행복하개키울고양,2022-07-21 10:47,U,2022-07-23 2:40,,201860.9842,453898.3192,동물위탁관리업,동물위탁관리업,0,0
2604,동물위탁관리업,02_03_10_P,3070000,3.07e+17,2019-05-31,,1,영업/정상,0,정상,,,,,02-942-4883,0.0,,서울특별시 성북,"서울특별시 성북구 길음로 **, 상가동 *층 **호 (길음동, 길음뉴타운)",2720.0,카카오N동물병원,2022-04-28 18:10,I,2022-07-02 17:34,,201514.971,456137.1021,동물위탁관리업,동물위탁관리업,0,0
2605,동물위탁관리업,02_03_10_P,3070000,3.07e+17,2019-07-25,,1,영업/정상,0,정상,,,,,02-969-6139,0.0,,서울특별시 성북,"서울특별시 성북구 돌곶이로 **, 명소아과의원 지*층 (석관동)",2788.0,마이도그(My Dog),2022-04-28 18:10,I,2022-07-02 17:34,,205356.0491,455981.8974,동물위탁관리업,동물위탁관리업,0,0
2606,동물위탁관리업,02_03_10_P,3070000,3.07e+17,2019-11-11,,1,영업/정상,0,정상,,,,,02-982-7975,0.0,,서울특별시 성북,"서울특별시 성북구 숭인로 **, 상가동 ****호 (길음동, 래미안길음센터피스)",2727.0,더편한동물병원,2022-04-28 18:10,I,2022-07-02 17:34,,202337.783,456539.1907,동물위탁관리업,동물위탁관리업,0,0
2607,동물위탁관리업,02_03_10_P,3070000,3.07e+17,2020-01-16,,1,영업/정상,0,정상,,,,,0507-1346-9909,0.0,,서울특별시 성북,"서울특별시 성북구 북악산로 ***, 성운빌딩 *층 (돈암동)",2828.0,캣츠아일랜드,2022-07-21 10:50,U,2022-07-23 2:40,,201709.9263,455131.7596,동물위탁관리업,동물위탁관리업,0,0
2608,동물위탁관리업,02_03_10_P,3070000,3.07e+17,2021-04-30,,1,영업/정상,0,정상,,,,,02-926-3004,0.0,,서울특별시 성북,"서울특별시 성북구 보문로**길 **, 지층 (동선동*가)",2849.0,강아지카페 카페개네,2022-07-28 15:26,U,2022-07-30 2:40,,201670.3362,454321.6981,동물위탁관리업,동물위탁관리업,0,0
2609,동물위탁관리업,02_03_10_P,3070000,3.07e+17,2021-05-13,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 성북,"서울특별시 성북구 월계로**길 **, 꿈의숲 빌딩 ***호 (장위동)",2754.0,땡일리 강아지 유치원,2022-05-20 15:17,U,2022-07-02 17:34,,203905.7711,457377.6719,동물위탁관리업,동물위탁관리업,0,0
2610,동물위탁관리업,02_03_10_P,3070000,3.07e+17,2022-03-15,,1,영업/정상,0,정상,,,,,0507-1479-5588,0.0,,서울특별시 성북,"서울특별시 성북구 서경로 **, 서륭빌딩 *층 (정릉동)",2716.0,조이풀독,2022-07-21 10:48,U,2022-07-23 2:40,,201274.9948,456210.8454,동물위탁관리업,동물위탁관리업,0,0
2611,동물위탁관리업,02_03_10_P,3070000,3.07e+17,2022-05-10,,1,영업/정상,0,정상,,,,,0507-1482-9883,0.0,,서울특별시 성북,"서울특별시 성북구 월곡로 **, *층 (종암동)",2797.0,봄동살롱,2022-07-21 10:49,U,2022-07-23 2:40,,203394.3775,455045.9494,동물위탁관리업,동물위탁관리업,0,0
2612,동물위탁관리업,02_03_10_P,3090000,3.09e+17,2020-02-05,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 도봉,서울특별시 도봉구 도봉로 *** (도봉동),1307.0,사랑해줄개,2022-04-28 18:10,I,2022-07-02 17:34,,203868.2975,463890.8377,동물위탁관리업,동물위탁관리업,0,0
2613,동물위탁관리업,02_03_10_P,3090000,3.09e+17,2020-03-16,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 도봉,"서울특별시 도봉구 도당로**길 *, ***동 *층 ***호 (방학동, 북한산팰리스)",1353.0,두부네,2022-04-28 18:10,I,2022-07-02 17:34,,203312.854,462707.4067,동물위탁관리업,동물위탁관리업,0,0
2614,동물위탁관리업,02_03_10_P,3090000,3.09e+17,2020-03-31,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 도봉,"서울특별시 도봉구 우이천로 ***, *층 (쌍문동)",1452.0,고놈들,2022-04-28 18:10,I,2022-07-02 17:34,,202629.2145,460141.6253,동물위탁관리업,동물위탁관리업,0,0
2615,동물위탁관리업,02_03_10_P,3090000,3.09e+17,2020-10-19,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 도봉,"서울특별시 도봉구 도봉로 ***, *층 (창동)",1401.0,waldog(왈독),2022-04-28 18:10,I,2022-07-02 17:34,,203463.2314,461610.5805,동물위탁관리업,동물위탁관리업,0,0
2616,동물위탁관리업,02_03_10_P,3090000,3.09e+17,2021-01-05,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 도봉,"서울특별시 도봉구 노해로**길 **-*, 창동 SR스타빌 ***호 (창동)",1405.0,몽앤츄,2022-09-28 13:29,U,2022-09-30 2:40,,204090.2608,461127.0324,동물위탁관리업,동물위탁관리업,0,0
2617,동물위탁관리업,02_03_10_P,3090000,3.09e+17,2022-05-26,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 도봉,"서울특별시 도봉구 해등로**길 *, ***,***호 (쌍문동)",1387.0,아이조은동물병원,2022-05-26 17:41,I,2022-07-02 17:34,,202807.2309,461791.7196,동물위탁관리업,동물위탁관리업,0,0
2618,동물위탁관리업,02_03_10_P,3090000,3.09e+17,2022-06-28,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 도봉,"서울특별시 도봉구 방학로 ***, *층 (방학동)",1390.0,삼멍(sammung),2022-06-28 13:29,I,2022-07-02 17:34,,203551.0671,462246.912,동물위탁관리업,동물위탁관리업,0,0
2619,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2018-07-09,,1,영업/정상,0,정상,,,,,02-357-9111,0.0,,서울특별시 은평,"서울특별시 은평구 은평로*길 **, ***호 (응암동, 응암동하이포룸)",3454.0,미니펫,2022-04-28 18:11,I,2022-07-02 17:34,,192782.8046,454959.2121,동물위탁관리업,동물위탁관리업,0,0
2620,동물위탁관리업,02_03_10_P,3200000,3.2e+17,2020-05-28,,1,영업/정상,0,정상,,,,,02-838-2922,0.0,,서울특별시 관악,"서울특별시 관악구 난곡로**길 *, *층 (신림동)",8771.0,디어몽 (Dear mong),2022-04-28 18:10,I,2022-07-02 17:34,,192341.9645,442114.1452,동물위탁관리업,동물위탁관리업,0,0
2621,동물위탁관리업,02_03_10_P,3200000,3.2e+17,2020-06-19,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 관악,서울특별시 관악구 조원로 *** (신림동),8704.0,"아름다울, 개",2022-04-28 18:10,I,2022-07-02 17:34,,192818.6898,442653.8702,동물위탁관리업,동물위탁관리업,0,0
2622,동물위탁관리업,02_03_10_P,3200000,3.2e+17,2020-08-05,,1,영업/정상,0,정상,,,,,02-3281-0362,0.0,,서울특별시 관악,"서울특별시 관악구 조원로 ***, 지층 B***호 (신림동)",8762.0,두리디엠 (미즈미스터펫),2023-02-10 12:49,U,2023-02-12 2:40,,192556.1886,442554.9316,동물위탁관리업,동물위탁관리업,0,0
2623,동물위탁관리업,02_03_10_P,3200000,3.2e+17,2021-11-02,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 관악,"서울특별시 관악구 남부순환로 ****, *층 (신림동)",8762.0,아지뜰,2022-04-28 18:10,I,2022-07-02 17:34,,192705.4278,442293.4261,동물위탁관리업,동물위탁관리업,0,0
2624,동물위탁관리업,02_03_10_P,3200000,3.2e+17,2022-01-23,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 관악,"서울특별시 관악구 신림로**길 **, *층 (신림동)",8778.0,뽀송캣,2022-04-28 18:10,I,2022-07-02 17:34,,193845.1609,442239.8142,동물위탁관리업,동물위탁관리업,0,0
2625,동물위탁관리업,02_03_10_P,3220000,3.22e+17,2022-05-06,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 강남,"서울특별시 강남구 삼성로 ***, 코배가든 *층 (삼성동)",6165.0,드도그카페,2022-05-06 11:19,I,2022-07-02 17:34,,204776.08,445404.62,동물위탁관리업,동물위탁관리업,L00,0
2819,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2018-09-14,,1,영업/정상,0,정상,,,,,353-1555,0.0,,서울특별시 은평,"서울특별시 은평구 통일로 ***, *층 (갈현동)",3328.0,행복한 강아지,2022-04-28 18:11,I,2022-07-02 17:34,,192831.8908,457944.1919,동물위탁관리업,동물위탁관리업,0,0
2820,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2018-09-17,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 은평,"서울특별시 은평구 연서로 **, ***호 (역촌동)",3406.0,은평애견,2022-04-28 18:11,I,2022-07-02 17:34,,192516.8985,455652.7857,동물위탁관리업,동물위탁관리업,0,0
2821,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2018-09-27,,1,영업/정상,0,정상,,,,,382-7511,0.0,,서울특별시 은평,"서울특별시 은평구 진관*로 **, ***동 ***호 (진관동, 은평뉴타운상림마을)",3304.0,한빛동물병원,2022-04-28 18:11,I,2022-07-02 17:34,,193651.2027,460623.3708,동물위탁관리업,동물위탁관리업,0,0
2822,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2018-09-27,,1,영업/정상,0,정상,,,,,6953-8275,0.0,,서울특별시 은평,"서울특별시 은평구 진관*로 **, ***동 상가B층 ***호 (진관동, 은평뉴타운우물골)",3306.0,우리덕구 동물병원,2022-04-28 18:11,I,2022-07-02 17:34,,193537.1513,459136.5476,동물위탁관리업,동물위탁관리업,0,0
2823,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2018-09-27,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 은평,서울특별시 은평구 증산서길 *** (증산동),3495.0,미용하는 강아지,2022-04-28 18:11,I,2022-07-02 17:34,,192184.5776,454048.3967,동물위탁관리업,동물위탁관리업,0,0
2824,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2018-09-28,,1,영업/정상,0,정상,,,,,359-2020,0.0,,서울특별시 은평,서울특별시 은평구 통일로 *** (대조동),3385.0,Dr.윤24시동물병원,2022-04-28 18:11,I,2022-07-02 17:34,,193147.6394,457137.1552,동물위탁관리업,동물위탁관리업,0,0
2825,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2018-10-08,,1,영업/정상,0,정상,,,,,384-7743,0.0,,서울특별시 은평,서울특별시 은평구 연서로 *** (갈현동),3334.0,금쪽같은 내새끼 동물병원,2022-04-28 18:11,I,2022-07-02 17:34,,192675.4579,457005.6829,동물위탁관리업,동물위탁관리업,0,0
2826,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2018-10-16,,1,영업/정상,0,정상,,,,,6012-7477,0.0,,서울특별시 은평,"서울특별시 은평구 증산로**길 *, *층 (신사동)",3450.0,퍼피하우스,2022-04-28 18:11,I,2022-07-02 17:34,,192379.6483,454844.9798,동물위탁관리업,동물위탁관리업,0,0
2827,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2018-10-16,,1,영업/정상,0,정상,,,,,384-0075,0.0,,서울특별시 은평,서울특별시 은평구 통일로 *** (갈현동),3329.0,메디펫 동물병원,2022-04-28 18:11,I,2022-07-02 17:34,,192825.7957,457740.6732,동물위탁관리업,동물위탁관리업,0,0
2828,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2018-10-30,,1,영업/정상,0,정상,,,,,3152-0112,0.0,,서울특별시 은평,서울특별시 은평구 연서로*길 ** (역촌동),3419.0,고마워 MIN,2022-11-04 10:59,U,2022-11-06 2:40,,192236.3416,455569.5642,동물위탁관리업,동물위탁관리업,0,0
2829,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2018-11-26,,1,영업/정상,0,정상,,,,,353-3858,0.0,,서울특별시 은평,"서울특별시 은평구 연서로**길 **, 정운빌딩 *층 (갈현동)",3330.0,도그원,2022-04-28 18:11,I,2022-07-02 17:34,,192667.438,457480.9901,동물위탁관리업,동물위탁관리업,0,0
2830,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2018-12-21,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 은평,서울특별시 은평구 역말로*길 ** (역촌동),3417.0,해피멍,2022-04-28 18:11,I,2022-07-02 17:34,,192381.6548,455825.4617,동물위탁관리업,동물위탁관리업,0,0
2831,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2019-02-25,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 은평,"서울특별시 은평구 대서문길 **, 북한산성상가 A동 ***호 (진관동)",3307.0,국립공원 특산품 판매점,2022-04-28 18:11,I,2022-07-02 17:34,,195358.5357,461455.8765,동물위탁관리업,동물위탁관리업,0,0
2832,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2019-03-28,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 은평,서울특별시 은평구 응암로**길 **-* (응암동),3480.0,디어도그,2022-04-28 18:11,I,2022-07-02 17:34,,192863.8584,453842.0264,동물위탁관리업,동물위탁관리업,0,0
2833,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2019-06-09,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 은평,"서울특별시 은평구 통일로 ***, M타워 지*층 (불광동)",3344.0,메르시몽프레,2022-04-28 18:11,I,2022-07-02 17:34,,192907.128,457599.0614,동물위탁관리업,동물위탁관리업,0,0
3072,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2019-11-22,,1,영업/정상,0,정상,,,,,02-353-5803,0.0,,서울특별시 은평,"서울특별시 은평구 응암로**길 **, *층 (응암동)",3466.0,honapet(호나펫),2022-04-28 18:11,I,2022-07-02 17:34,,193011.0265,454575.9192,동물위탁관리업,동물위탁관리업,0,0
3073,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2020-01-30,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 은평,"서울특별시 은평구 은평로**길 *-**, *층 (응암동)",3462.0,The 이뿌개,2022-04-28 18:11,I,2022-07-02 17:34,,193278.5649,455325.4312,동물위탁관리업,동물위탁관리업,0,0
3074,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2020-09-15,,1,영업/정상,0,정상,,,,,23841110,0.0,,서울특별시 은평,서울특별시 은평구 통일로 *** (녹번동),3382.0,어울동물의료센터,2022-04-28 18:11,I,2022-07-02 17:34,,194068.7217,455951.1927,동물위탁관리업,동물위탁관리업,0,0
3075,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2021-04-09,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 은평,"서울특별시 은평구 응암로**길 **, *층 (응암동)",3469.0,별이&체리,2022-04-28 18:11,I,2022-07-02 17:34,,192814.4979,454189.3792,동물위탁관리업,동물위탁관리업,0,0
3076,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2022-04-12,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 은평,"서울특별시 은평구 불광로 ***, 유니파크 *층 ***호 (불광동)",3354.0,피어나개,2022-04-28 18:11,I,2022-07-02 17:34,,193973.6736,457400.5857,동물위탁관리업,동물위탁관리업,0,0
3077,동물위탁관리업,02_03_10_P,3110000,3.11e+17,2022-06-03,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 은평,서울특별시 은평구 통일로**길 **(대조동),3386.0,빵댕이넷,2022-06-03 13:06,I,2022-07-02 17:34,,192985.3453,456927.5079,동물위탁관리업,동물위탁관리업,0,0
3078,동물위탁관리업,02_03_10_P,3130000,3.13e+17,2018-04-09,,1,영업/정상,0,정상,,,,,02-704-5504,0.0,,서울특별시 마포,"서울특별시 마포구 새창로 **, *층 (도화동, 도화동현대아파트)",4182.0,독앤독,2022-04-28 18:10,I,2022-07-02 17:34,,195852.5243,448575.7794,동물위탁관리업,동물위탁관리업,0,0
3079,동물위탁관리업,02_03_10_P,3130000,3.13e+17,2018-04-23,,1,영업/정상,0,정상,,,,,02-324-8101,0.0,,서울특별시 마포,"서울특별시 마포구 성미산로**길 **, *층 (서교동)",3998.0,즐거운 애견미용,2022-04-28 18:10,I,2022-07-02 17:34,,192418.0477,450588.3493,동물위탁관리업,동물위탁관리업,0,0
3080,동물위탁관리업,02_03_10_P,3130000,3.13e+17,2018-05-04,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 마포,"서울특별시 마포구 희우정로*길 **, 동해빌딩 B*층 (합정동)",4028.0,도시 강아지,2022-11-03 10:50,U,2022-11-05 2:40,,191702.8443,449647.6468,동물위탁관리업,동물위탁관리업,0,0
3081,동물위탁관리업,02_03_10_P,3130000,3.13e+17,2018-07-03,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 마포,"서울특별시 마포구 와우산로**길 **, *층 (서교동)",4054.0,구름뜬하늘,2022-04-28 18:10,I,2022-07-02 17:34,,193485.5837,450209.8319,동물위탁관리업,동물위탁관리업,0,0
3082,동물위탁관리업,02_03_10_P,3130000,3.13e+17,2018-11-02,,1,영업/정상,0,정상,,,,,02-334-3712,0.0,,서울특별시 마포,"서울특별시 마포구 양화로**안길 **, *층 (동교동)",4051.0,써니네,2022-04-28 18:10,I,2022-07-02 17:34,,193347.0777,450496.6209,동물위탁관리업,동물위탁관리업,0,0
3083,동물위탁관리업,02_03_10_P,3130000,3.13e+17,2019-01-15,,1,영업/정상,0,정상,,,,,02-335-7577,0.0,,서울특별시 마포,"서울특별시 마포구 월드컵로 **, 서현빌딩 *층 (서교동)",3996.0,푸른숲동물병원,2022-04-28 18:10,I,2022-07-02 17:34,,191913.1931,450573.6712,동물위탁관리업,동물위탁관리업,0,0
3084,동물위탁관리업,02_03_10_P,3180000,3.18e+17,2018-09-06,,1,영업/정상,0,정상,,,,,02-834-7582,0.0,,서울특별시 영등포,"서울특별시 영등포구 가마산로 ***, *층 (대림동)",7411.0,왈츠동물병원,2022-04-28 18:11,I,2022-07-02 17:34,,190691.3283,444029.1823,동물위탁관리업,동물위탁관리업,0,0
3085,동물위탁관리업,02_03_10_P,3180000,3.18e+17,2018-09-07,,1,영업/정상,0,정상,,,,,02-2634-8295,0.0,,서울특별시 영등포,"서울특별시 영등포구 영중로 **, 타임스퀘어 지하층 B***호 (영등포동*가)",7305.0,러브펫 동물병원,2022-04-28 18:11,I,2022-07-02 17:34,,191385.0574,446098.5559,동물위탁관리업,동물위탁관리업,0,0
3086,동물위탁관리업,02_03_10_P,3180000,3.18e+17,2018-09-20,,1,영업/정상,0,정상,,,,,02-2676-7582,0.0,,서울특별시 영등포,"서울특별시 영등포구 영등포로 **-*, *층 (양평동*가)",7262.0,24시 수 동물메디컬센터,2022-04-28 18:11,I,2022-07-02 17:34,,190309.6638,446683.9745,동물위탁관리업,동물위탁관리업,0,0
3087,동물위탁관리업,02_03_10_P,3180000,3.18e+17,2018-09-21,,1,영업/정상,0,정상,,,,,02-2069-0082,0.0,,서울특별시 영등포,"서울특별시 영등포구 당산로 **, 홈플러스 *층 (문래동*가)",7297.0,도그플러스 동물병원,2022-04-28 18:11,I,2022-07-02 17:34,,190729.5065,446227.075,동물위탁관리업,동물위탁관리업,0,0
3088,동물위탁관리업,02_03_10_P,3180000,3.18e+17,2018-09-21,,1,영업/정상,0,정상,,,,,02-845-0780,0.0,,서울특별시 영등포,"서울특별시 영등포구 도신로 ***, *층 (신길동)",7347.0,온누리 종합 동물병원,2022-04-28 18:11,I,2022-07-02 17:34,,192153.6215,445405.237,동물위탁관리업,동물위탁관리업,0,0
3089,동물위탁관리업,02_03_10_P,3180000,3.18e+17,2018-10-15,,1,영업/정상,0,정상,,,,,02-783-7580,0.0,,서울특별시 영등포,"서울특별시 영등포구 국제금융로 ***, 미라클빌딩 *층 (여의도동)",7343.0,여의도 동물병원 은하점,2022-04-28 18:11,I,2022-07-02 17:34,,194056.6819,446279.0838,동물위탁관리업,동물위탁관리업,0,0
3090,동물위탁관리업,02_03_10_P,3180000,3.18e+17,2018-10-15,,1,영업/정상,0,정상,,,,,02-836-6509,0.0,,서울특별시 영등포,"서울특별시 영등포구 신길로 ***, *층 (신길동)",7362.0,영등포 우신종합 동물병원,2022-04-28 18:11,I,2022-07-02 17:34,,192081.3914,445002.6885,동물위탁관리업,동물위탁관리업,0,0
3091,동물위탁관리업,02_03_10_P,3180000,3.18e+17,2018-10-15,,1,영업/정상,0,정상,,,,,02-785-7582,0.0,,서울특별시 영등포,"서울특별시 영등포구 국제금융로 **, *층 (여의도동, 한양아파트)",7340.0,Dr.수 동물병원,2022-04-28 18:11,I,2022-07-02 17:34,,193963.5631,446584.5502,동물위탁관리업,동물위탁관리업,0,0
3092,동물위탁관리업,02_03_10_P,3180000,3.18e+17,2018-11-29,,1,영업/정상,0,정상,,,,,02-833-7554,0.0,,서울특별시 영등포,"서울특별시 영등포구 여의대방로 **, 방주빌딩 *,*층 (신길동)",7437.0,유석 동물병원,2022-04-28 18:11,I,2022-07-02 17:34,,191954.1317,443477.9846,동물위탁관리업,동물위탁관리업,0,0
3093,동물위탁관리업,02_03_10_P,3180000,3.18e+17,2019-04-09,,1,영업/정상,0,정상,,,,,070-7779-8228,0.0,,서울특별시 영등포,"서울특별시 영등포구 도신로 **, *층 (도림동)",7370.0,미스터 토리,2022-04-28 18:11,I,2022-07-02 17:34,,191237.9845,444989.4367,동물위탁관리업,동물위탁관리업,0,0
3094,동물위탁관리업,02_03_10_P,3180000,3.18e+17,2019-04-23,,1,영업/정상,0,정상,,,,,02-844-7775,0.0,,서울특별시 영등포,"서울특별시 영등포구 도신로 ***, 중양빌딩 *층 (신길동)",7352.0,한가람동물의료센터,2022-04-28 18:11,I,2022-07-02 17:34,,192727.8748,445692.9267,동물위탁관리업,동물위탁관리업,0,0
3095,동물위탁관리업,02_03_10_P,3180000,3.18e+17,2019-06-21,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 영등포,"서울특별시 영등포구 영등포로 ***-*, 성일빌딩 *층 (영등포동*가)",7250.0,바스텟,2022-04-28 18:11,I,2022-07-02 17:34,,191787.0177,446380.8982,동물위탁관리업,동물위탁관리업,0,0
3096,동물위탁관리업,02_03_10_P,3180000,3.18e+17,2019-08-01,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 영등포,"서울특별시 영등포구 여의동로 ***, 지하층 ***호 (여의도동, 여의도금호리첸시아)",7345.0,슈퍼독,2022-04-28 18:11,I,2022-07-02 17:34,,194592.2768,446268.4812,동물위탁관리업,동물위탁관리업,0,0
3289,동물위탁관리업,02_03_10_P,3130000,3.13e+17,2019-02-26,,1,영업/정상,0,정상,,,,,322-5585,0.0,,서울특별시 마포,"서울특별시 마포구 신촌로**길 **, 태인빌딩 *층 (노고산동)",4057.0,다온펫샵,2022-04-28 18:10,I,2022-07-02 17:34,,194040.8123,450327.1956,동물위탁관리업,동물위탁관리업,0,0
3290,동물위탁관리업,02_03_10_P,3130000,3.13e+17,2019-02-27,,1,영업/정상,0,정상,,,,,02-337-7575,0.0,,서울특별시 마포,"서울특별시 마포구 월드컵북로 **, 이화빌딩 (서교동)",4001.0,웰케어동물병원,2022-04-28 18:10,I,2022-07-02 17:34,,192782.1114,450515.9007,동물위탁관리업,동물위탁관리업,0,0
3291,동물위탁관리업,02_03_10_P,3130000,3.13e+17,2019-07-11,,1,영업/정상,0,정상,,,,,02-2138-3382,0.0,,서울특별시 마포,"서울특별시 마포구 마포대로**길 **, 공덕 메디힐스 지하*층 (공덕동)",4142.0,플라잉펫,2022-04-28 18:10,I,2022-07-02 17:34,,195703.3497,449630.3603,동물위탁관리업,동물위탁관리업,0,0
3292,동물위탁관리업,02_03_10_P,3130000,3.13e+17,2020-03-23,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 마포,"서울특별시 마포구 서강로*길 **, *층 (창전동)",4059.0,워킹페코,2022-04-28 18:10,I,2022-07-02 17:34,,193776.475,450240.7695,동물위탁관리업,동물위탁관리업,0,0
